,Unnamed: 0,area,bathroom,direction,price,rooms,type,latitude,longitude
251,251, 356mt, 3,"Los Cacicazgos, Santo Domingo De Guzmán","US$ 338,000", 3,Venta,18.441375,-69.9697149
252,252, 289mt, 2,"Urbanización Neftalí Iii, San Francisco De Macorís","RD$ 5,500,000", 3,Venta,null,null
253,253, 180mt, 3,"Alma Rosa I, Santo Domingo Este","RD$ 7,695,000", 3,Venta,18.4918726,-69.8559554
254,254, 254mt, 2,"Alma Rosa I, Santo Domingo Este","RD$ 8,750,000", 3,Venta,18.4918726,-69.8559554
255,255, 90mt, 2,"Altos De Arroyo Hondo Ii, Santo Domingo De Guzmán","RD$ 2,350,000", 3,Venta,18.5042878,-69.9497993
256,256, 150mt, 2,"Gascue, Santo Domingo De Guzmán","RD$ 6,000,000", 3,Venta,18.4929955,-69.9032885
257,257, 160mt, 3,"Ciudad Real, Santo Domingo De Guzmán","RD$ 5,800,000", 3,Venta,18.5115991,-69.9852281
258,258, 182mt, 2,"El Millón, Santo Domingo De Guzmán","RD$ 4,700,000", 2,Venta,18.4593396,-69.9597566
259,259, 120mt, 2,"Villa Aura, Santo Domingo Oeste","RD$ 3,200,000", 3,Venta,18.4816042,-69.9911021647571
260,260, 249mt, 3,"La Esperilla, Santo Domingo De Guzmán","US$ 164,000", 3,Venta,18.46817535,-69.9199088057318
261,261, 167mt, 2,"Altos De Arroyo Hondo Ii, Santo Domingo De Guzmán","US$ 120,000", 3,Venta,18.5042878,-69.9497993
262,262, 138mt, 2,"Evaristo Morales, Santo Domingo De Guzmán","RD$ 7,200,000", 2,Venta,18.4651751,-69.9412137
263,263, 115mt, 2,"El Millón, Santo Domingo De Guzmán","RD$ 5,700,000", 3,Venta,18.4593396,-69.9597566
264,264, 130mt, 2,"Jardines Del Sur I Y Ii, Santo Domingo De Guzmán","RD$ 4,800,000", 3,Venta,18.44128635,-69.9494794210503
265,265, 195mt, 3,"Bella Vista, Santo Domingo De Guzmán","RD$ 6,200,000", 3,Venta,18.4522046,-69.9484723
266,266, 157mt, 3,"Bella Vista, Santo Domingo De Guzmán","US$ 1,300", 3,Alquiler,18.4522046,-69.9484723
267,267, 157mt, 3,"Bella Vista, Santo Domingo De Guzmán","US$ 225,000", 3,Venta,18.4522046,-69.9484723
268,268, 76mt, 1,"Ensanche Naco, Santo Domingo De Guzmán","US$ 1,500", 1,Alquiler Amueblado,18.48063285,-69.9245812964471
269,269, 155mt, 2,"La Julia, Santo Domingo De Guzmán","RD$ 6,800,000", 3,Venta,18.4633288,-69.9238582
270,270, 160mt, 2,"Piantini, Santo Domingo De Guzmán","RD$ 40,000", 3,Alquiler,18.4772093,-69.8949479
271,271, 235mt, 3,"Mirador Sur, Santo Domingo De Guzmán","US$ 1,200", 3,Alquiler,18.44863,-69.9556090626115
272,272, 200mt, 2,"Mirador Sur, Santo Domingo De Guzmán","US$ 3,000", 3,Alquiler,18.44863,-69.9556090626115
273,273, 96mt, 1,"San Felipe, Santo Domingo Norte","RD$ 1,850,000", 3,Venta,18.5690123,-69.9097811
274,274, 133mt, 3,"Villa Marina, Santo Domingo De Guzmán","RD$ 5,500,000", 5,Venta,18.4830694,-69.9706697
275,275, 102mt, 2,"Villa Marina, Santo Domingo De Guzmán","RD$ 3,500,000", 3,Venta,18.4830694,-69.9706697
276,276, 160mt, 2,"La Esperilla, Santo Domingo De Guzmán","US$ 180,000", 3,Venta,18.46817535,-69.9199088057318
277,277, 150mt, 3,"Evaristo Morales, Santo Domingo De Guzmán","RD$ 6,300,000", 3,Venta,18.4651751,-69.9412137
278,278, 65mt, 1,"Urbanizacion Fernández, Santo Domingo De Guzmán","US$ 1,000", 1,Alquiler Amueblado,18.4758548,-69.946047
279,279, 125mt, 2,"Juan Dolio, Guayacanes","US$ 140,000", 2,Venta,18.4268923,-69.4162105
280,280, 235mt, 2,"Gascue, Santo Domingo De Guzmán","US$ 200,000", 4,Venta,18.4929955,-69.9032885
281,281, 116mt, 2,"Altos De Arroyo Hondo Iii, Santo Domingo De Guzmán","RD$ 3,750,000", 3,Venta,18.5029036,-69.9640468
282,282, 210mt, 4,"Piantini, Santo Domingo De Guzmán","US$ 410,000", 3,Venta,18.4772093,-69.8949479
283,283, 59mt, 1,"Playa Punta Popy, Las Terrenas","US$ 120,000", 1,Venta,19.32560965,-69.5296784494022
284,284, 117mt, 2,"Playa Punta Popy, Las Terrenas",US$ 190, 2,Venta,19.32560965,-69.5296784494022
285,285, 148mt, 2,"Evaristo Morales, Santo Domingo De Guzmán","US$ 1,150", 2,Alquiler Amueblado,18.4651751,-69.9412137
286,286, 111mt, 2,"Colinas De Los Ríos, Santo Domingo De Guzmán","RD$ 4,300,000", 3,Venta,null,null
287,287, 390mt, 4,"Evaristo Morales, Santo Domingo De Guzmán","US$ 2,200", 4,Alquiler,18.4651751,-69.9412137
288,288, 190mt, 2,"Ensanche Naco, Santo Domingo De Guzmán","US$ 1,200", 3,Alquiler,18.48063285,-69.9245812964471
289,289, 183mt, 2,"Mirador Norte, Santo Domingo De Guzmán","RD$ 10,000,000", 3,Venta,18.4505505,-69.9579591088741
290,290, 120mt, 2,"Altos De Arroyo Hondo, Santo Domingo De Guzmán","RD$ 4,300,000", 3,Venta,18.4958545,-69.974084
291,291, 110mt, 2,"Cerros De Arroyo Hondo, Santo Domingo De Guzmán","RD$ 3,250,000", 3,Venta,18.5109812,-69.9439379
292,292, 71mt, 1,"Zona Colonial, Santo Domingo De Guzmán","US$ 95,000", 2,Venta,18.4714798,-69.8868222
293,293, 172mt, 2,"Ensanche Naco, Santo Domingo De Guzmán","US$ 185,000", 2,Venta,18.48063285,-69.9245812964471
294,294, 125mt, 3,"Parque Del Este I, Santo Domingo Este","RD$ 6,000,000", 3,Venta,18.4754071,-69.8740242
295,295, 245mt, 3,"Piantini, Santo Domingo De Guzmán","US$ 2,500", 3,Alquiler,18.4772093,-69.8949479
296,296, 160mt, 2,"Bella Vista, Santo Domingo De Guzmán","US$ 159,000", 3,Venta,18.4522046,-69.9484723
297,297, 70mt, 1,"Ensanche Naco, Santo Domingo De Guzmán",US$ 750, 1,Alquiler Amueblado,18.48063285,-69.9245812964471
298,298, 60mt, 1,"Playa Punta Popy, Las Terrenas","US$ 110,000", 1,Venta,19.32560965,-69.5296784494022
299,299, 96mt, 2,"Colinas De Los Ríos, Santo Domingo De Guzmán","RD$ 4,600,000", 3,Venta,null,null
300,300, 220mt, 3,"Alma Rosa I, Santo Domingo Este","RD$ 6,500,000", 3,Venta,18.4918726,-69.8559554
301,301, 400mt, 3,"La Esperilla, Santo Domingo De Guzmán","US$ 1,800", 3,Alquiler,18.46817535,-69.9199088057318
302,302, 78mt, 2,"Ciudad Modelo, Santo Domingo Norte","RD$ 1,900,000", 3,Venta,18.5490204,-69.9258662518251
303,303, 84mt, 1,"La Esperilla, Santo Domingo De Guzmán","US$ 1,250", 1,Alquiler Amueblado,18.46817535,-69.9199088057318
304,304, 185mt, 2,"La Esperilla, Santo Domingo De Guzmán","US$ 1,650", 2,Alquiler Amueblado,18.46817535,-69.9199088057318
305,305, 142mt, 2,"Guavaberry, Guayacanes","US$ 160,000", 2,Venta,null,null
306,306, 105mt, 2,"Gascue, Santo Domingo De Guzmán",US$ 775, 2,Alquiler Amueblado,18.4929955,-69.9032885
307,307, 112mt, 2,"Residencial Loyola, Santo Domingo Oeste","RD$ 2,950,000", 3,Venta,18.5105656,-70.0128119
308,308, 500mt, 3,"Los Cacicazgos, Santo Domingo De Guzmán","US$ 4,500", 3,Alquiler Amueblado,18.441375,-69.9697149
309,309, 197mt, 3,"Piantini, Santo Domingo De Guzmán","US$ 375,000", 3,Venta,18.4772093,-69.8949479
310,310, 353mt, 3,"Ensanche Naco, Santo Domingo De Guzmán","US$ 355,000", 3,Venta,18.48063285,-69.9245812964471
311,311, 58mt, 1,"Playa Punta Popy, Las Terrenas","US$ 118,000", 1,Venta,19.32560965,-69.5296784494022
312,312, 87mt, 2,"Piantini, Santo Domingo De Guzmán","US$ 1,200", 1,Alquiler Amueblado,18.4772093,-69.8949479
313,313, 259mt, 3,"Los Prados, Santo Domingo De Guzmán","US$ 236,900", 3,Venta,18.4747108,-69.9598991
314,314, 152mt, 3,"Playa Punta Popy, Las Terrenas","US$ 250,000", 4,Venta,19.32560965,-69.5296784494022
315,315, 58mt, 1,"Playa Punta Popy, Las Terrenas","US$ 122,000", 1,Venta,19.32560965,-69.5296784494022
316,316, 58mt, 1,"Playa Punta Popy, Las Terrenas","US$ 118,000", 1,Venta,19.32560965,-69.5296784494022
317,317, 76mt, 1,"Bella Vista, Santo Domingo De Guzmán","US$ 95,000", 1,Venta,18.4522046,-69.9484723
318,318, 150mt, 3,"Bella Vista, Santo Domingo De Guzmán","US$ 170,000", 3,Venta,18.4522046,-69.9484723
319,319, 210mt, 3,"Ensanche Serralles, Santo Domingo De Guzmán","US$ 240,000", 3,Venta,null,null
320,320, 357mt, 3,"Bella Vista, Santo Domingo De Guzmán","US$ 450,000", 3,Venta,18.4522046,-69.9484723
321,321, 115mt, 2,"Villa Marina, Santo Domingo De Guzmán","RD$ 3,200,000", 2,Venta,18.4830694,-69.9706697
322,322, 262mt, 3,"Urbanizacion Fernández, Santo Domingo De Guzmán","RD$ 8,000,000", 3,Venta,18.4758548,-69.946047
323,323, 100mt, 2,"Velacasa, Santo Domingo De Guzmán","RD$ 3,500,000", 2,Venta,null,null
324,324, 84mt, 2,"Ensanche Naco, Santo Domingo De Guzmán",US$ 950, 2,Alquiler,18.48063285,-69.9245812964471
325,325, 130mt, 2,"La Esperilla, Santo Domingo De Guzmán",US$ 900, 2,Alquiler Amueblado,18.46817535,-69.9199088057318
326,326, 175mt, 2,"Piantini, Santo Domingo De Guzmán","US$ 1,400", 3,Alquiler,18.4772093,-69.8949479
327,327, 125mt, 2,"Evaristo Morales, Santo Domingo De Guzmán","US$ 140,000", 2,Venta,18.4651751,-69.9412137
328,328, 150mt, 2,"Urbanización Real, Santo Domingo De Guzmán","RD$ 6,500,000", 3,Venta,18.4428514,-69.9757123
329,329, 128mt, 2,"Playa Punta Popy, Las Terrenas","US$ 220,000", 2,Venta,19.32560965,-69.5296784494022
330,330, 171mt, 2,"Gascue, Santo Domingo De Guzmán","RD$ 7,500,000", 3,Venta,18.4929955,-69.9032885
331,331, 230mt, 2,"Piantini, Santo Domingo De Guzmán","US$ 215,000", 3,Venta,18.4772093,-69.8949479
332,332, 118mt, 2,"Colinas De Los Ríos, Santo Domingo De Guzmán","RD$ 4,200,000", 3,Venta,null,null
333,333, 225mt, 3,"Residencial Santo Domingo, Santo Domingo Oeste","RD$ 29,500", 4,Alquiler,18.4446982,-69.9849684
334,334, 254mt, 3,"Ensanche Ozama, Santo Domingo Este","RD$ 9,000,000", 3,Venta,18.493132,-69.8690342
335,335, 54mt, 1,"Los Cacicazgos, Santo Domingo De Guzmán","US$ 1,000", 1,Alquiler Línea Blanca,18.441375,-69.9697149
336,336, 66mt, 1,"Ensanche Naco, Santo Domingo De Guzmán","US$ 115,000", 1,Venta Ambueblado,18.48063285,-69.9245812964471
337,337, 92mt, 2,"El Cortecito, Bavaro","US$ 230,000", 2,Venta,null,null
338,338, 177mt, 2,"Arroyo Hondo, Santo Domingo De Guzmán","RD$ 5,700,000", 3,Venta,18.5051048,-69.931862
339,339, 81mt, 2,"Piantini, Santo Domingo De Guzmán","US$ 1,200", 1,Alquiler,18.4772093,-69.8949479
340,340, 205mt, 3,"Zona Colonial, Santo Domingo De Guzmán","US$ 1,800", 3,Alquiler,18.4714798,-69.8868222
